short_name,long_name,power
USA,United States,13264
RUS,Russia,4163
CHN,China,3210
IND,India,2123
SKO,South Korea,1649
JPN,Japan,1561
PAK,Pakistan,1372
FRA,France,1229
TUR,Turkey,1055
EGY,Egypt,1054
NKO,North Korea,949
SAR,Saudi Arabia,879
ITA,Italy,860
TAI,Taiwan,744
UKD,United Kingdom,733
BRA,Brazil,715
GER,Germany,712
ISR,Israel,589
THA,Thailand,570
GRE,Greece,566
ALG,Algeria,551
UAE,United Arab Emirates,538
SPA,Spain,512
IRN,Iran,509
MEX,Mexico,484
COL,Colombia,469
AUS,Australia,464
INO,Indonesia,462
POL,Poland,457
SYR,Syria,456
CAN,Canada,385
IRQ,Iraq,348
UKR,Ukraine,297
ANG,Angola,295
VTN,Vietnam,293
CHI,Chile,282
JOR,Jordan,278
MYA,Myanmar,276
PER,Peru,273
AFG,Afghanistan,260
VEN,Venezuela,260
SIN,Singapore,235
ARG,Argentina,227
SAF,South Africa,226
KAZ,Kazakhstan,222
MOR,Morocco,214
SWE,Sweden,204
BLR,Belarus,202
FIN,Finland,194
SUD,Sudan,190
UZB,Uzbekistan,185
BAN,Bangladesh,177
PHI,Philippines,171
MLY,Malaysia,170
SWI,Switzerland,169
YEM,Yemen,169
NET,Netherlands,168
KEN,Kenya,150
NOR,Norway,150
BEL,Belgium,148
AZR,Azerbaijan,147
TUN,Tunisia,147
ROM,Romania,143
OMA,Oman,131
NGA,Nigeria,129
QTR,Qatar,123
AST,Austria,120
LBY,Libya,114
DEN,Denmark,113
SER,Serbia,109
BAH,Bahrain,109
ZAM,Zambia,108
ECU,Ecuador,108
CZC,Czechia,95
POR,Portugal,90
ZIM,Zimbabwe,90
ETH,Ethiopia,86
KUW,Kuwait,85
CUB,Cuba,80
CRO,Croatia,78
SRL,Sri Lanka,77
TKM,Turkmenistan,72
LEB,Lebanon,70
BOL,Bolivia,69
GEO,Georgia,66
ARM,Armenia,64
BUL,Bulgaria,63
DRC,Democratic Republic of the Congo,53
ESL,El Salvador,51
URU,Uruguay,50
DOM,Dominican Republic,49
UGA,Uganda,48
NWZ,New Zealand,48
HUN,Hungary,47
SLK,Slovakia,47
HON,Honduras,46
BOT,Botswana,45
PAN,Panama,39
SLV,Slovenia,38
CHD,Chad,35
TAN,Tanzania,34
PAR,Paraguay,33
GUA,Guatemala,33
LAO,Laos,33
NAM,Namibia,30
MAL,Mali,29
CAM,Cameroon,29
MAU,Mauritania,28
TAJ,Tajikistan,25
GHA,Ghana,24
GAB,Gabon,23
CMB,Cambodia,22
MAC,North Macedonia,20
BOS,Bosnia and Herzegovina,19
ALB,Albania,19
IRE,Ireland,19
SSU,South Sudan,19
NIC,Nicaragua,19
MOZ,Mozambique,16
BKF,Burkina Faso,16
NGR,Niger,16
NEP,Nepal,16
ROC,Republic of the Congo,13
LIT,Lithuania,10
MTN,Montenegro,9
MON,Mongolia,9
IVC,Ivory Coast,8
EST,Estonia,7
MAD,Madagascar,6
LAT,Latvia,5
SIE,Sierra Leone,5
KYR,Kyrgyzstan,5
MOL,Moldova,3
SUR,Suriname,3
CAR,Central African Republic,3
BUT,Bhutan,2
LIB,Liberia,0
SOM,Somalia,0
