short_name,long_name,power
RUS,Russia,12950
USA,United States,6289
NKO,North Korea,6045
EGY,Egypt,4295
IND,India,4292
SYR,Syria,4135
CHN,China,3500
ISR,Israel,2760
TUR,Turkey,2622
VTN,Vietnam,2615
SKO,South Korea,2614
PAK,Pakistan,2200
IRN,Iran,2056
UKR,Ukraine,2026
MOR,Morocco,1443
GRE,Greece,1355
JOR,Jordan,1313
TAI,Taiwan,1180
CUB,Cuba,1180
POL,Poland,1069
SAR,Saudi Arabia,1062
JPN,Japan,1004
ROM,Romania,943
ALG,Algeria,880
THA,Thailand,841
TKM,Turkmenistan,712
BUL,Bulgaria,710
SUD,Sudan,690
KAZ,Kazakhstan,650
YEM,Yemen,620
AZR,Azerbaijan,570
BLR,Belarus,532
FRA,France,528
MON,Mongolia,470
BRA,Brazil,437
UAE,United Arab Emirates,434
MYA,Myanmar,434
UZB,Uzbekistan,420
ETH,Ethiopia,400
VEN,Venezuela,390
ANG,Angola,379
UGA,Uganda,371
ARG,Argentina,370
KUW,Kuwait,367
LEB,Lebanon,366
SPA,Spain,327
SWI,Switzerland,326
BOS,Bosnia and Herzegovina,320
INO,Indonesia,313
IRQ,Iraq,309
CHI,Chile,300
SER,Serbia,293
BAN,Bangladesh,276
CMB,Cambodia,263
TAJ,Tajikistan,253
NGA,Nigeria,253
LBY,Libya,250
GER,Germany,245
ECU,Ecuador,232
UKD,United Kingdom,227
SRL,Sri Lanka,202
ITA,Italy,200
FIN,Finland,200
SAF,South Africa,195
TUN,Tunisia,181
BAH,Bahrain,180
SIN,Singapore,180
DRC,Democratic Republic of the Congo,175
TAN,Tanzania,156
KYR,Kyrgyzstan,150
PER,Peru,146
GEO,Georgia,143
POR,Portugal,133
SWE,Sweden,126
OMA,Oman,117
CZC,Czechia,116
ARM,Armenia,110
SSU,South Sudan,110
NIC,Nicaragua,104
MOZ,Mozambique,100
QTR,Qatar,92
ROC,Republic of the Congo,86
CAN,Canada,80
MAL,Mali,80
URU,Uruguay,78
KEN,Kenya,76
ZAM,Zambia,75
MLY,Malaysia,74
CRO,Croatia,72
LAO,Laos,65
CHD,Chad,60
AUS,Australia,59
DEN,Denmark,57
AST,Austria,56
BOT,Botswana,55
BOL,Bolivia,54
NOR,Norway,52
SLV,Slovenia,44
ZIM,Zimbabwe,42
MAU,Mauritania,35
MAC,North Macedonia,31
HUN,Hungary,30
SLK,Slovakia,20
HON,Honduras,19
NET,Netherlands,18
IVC,Ivory Coast,15
PAR,Paraguay,13
GUA,Guatemala,12
MAD,Madagascar,12
SOM,Somalia,10
NAM,Namibia,7
PHI,Philippines,7
DOM,Dominican Republic,6
CAR,Central African Republic,4
COL,Colombia,0
PAN,Panama,0
CAM,Cameroon,0
BUT,Bhutan,0
SUR,Suriname,0
SIE,Sierra Leone,0
GHA,Ghana,0
EST,Estonia,0
MEX,Mexico,0
GAB,Gabon,0
LIT,Lithuania,0
BKF,Burkina Faso,0
IRE,Ireland,0
BEL,Belgium,0
LAT,Latvia,0
LIB,Liberia,0
NGR,Niger,0
ALB,Albania,0
AFG,Afghanistan,0
NEP,Nepal,0
NWZ,New Zealand,0
MOL,Moldova,0
MTN,Montenegro,0
ESL,El Salvador,0
