short_name,long_name,power
NKO,North Korea,984
CHN,China,777
RUS,Russia,603
USA,United States,490
COL,Colombia,453
IRN,Iran,398
EGY,Egypt,316
THA,Thailand,292
IND,India,285
INO,Indonesia,282
ITA,Italy,249
FIN,Finland,246
SKO,South Korea,234
ALG,Algeria,201
MEX,Mexico,189
MYA,Myanmar,187
FRA,France,180
BOL,Bolivia,173
JPN,Japan,155
TUR,Turkey,149
MOR,Morocco,121
TAI,Taiwan,117
GRE,Greece,116
BAN,Bangladesh,112
BRA,Brazil,112
PHI,Philippines,103
PAK,Pakistan,100
UKD,United Kingdom,88
POL,Poland,87
QTR,Qatar,86
GER,Germany,80
SPA,Spain,77
NGA,Nigeria,75
UAE,United Arab Emirates,75
DEN,Denmark,74
CHI,Chile,69
ISR,Israel,65
VTN,Vietnam,65
CAM,Cameroon,64
CAN,Canada,64
NET,Netherlands,63
SWE,Sweden,63
NOR,Norway,62
MLY,Malaysia,61
PER,Peru,60
IRQ,Iraq,60
HON,Honduras,59
LEB,Lebanon,57
ANG,Angola,57
SYR,Syria,56
SAR,Saudi Arabia,55
TUN,Tunisia,50
VEN,Venezuela,49
ARG,Argentina,49
ROM,Romania,48
AUS,Australia,48
POR,Portugal,41
PAR,Paraguay,40
SRL,Sri Lanka,40
SIN,Singapore,40
BAH,Bahrain,39
KUW,Kuwait,38
ALB,Albania,38
JOR,Jordan,37
LAO,Laos,36
DOM,Dominican Republic,33
AZR,Azerbaijan,31
SAF,South Africa,30
NIC,Nicaragua,30
YEM,Yemen,30
BUL,Bulgaria,29
CRO,Croatia,28
CMB,Cambodia,27
GUA,Guatemala,26
UKR,Ukraine,25
PAN,Panama,20
GHA,Ghana,20
URU,Uruguay,20
DRC,Democratic Republic of the Congo,20
TAN,Tanzania,19
KEN,Kenya,19
SER,Serbia,19
ECU,Ecuador,19
MTN,Montenegro,18
LAT,Latvia,18
SUD,Sudan,18
BEL,Belgium,17
OMA,Oman,16
KAZ,Kazakhstan,15
CUB,Cuba,12
LIT,Lithuania,12
NWZ,New Zealand,11
SIE,Sierra Leone,10
GAB,Gabon,10
IVC,Ivory Coast,10
GEO,Georgia,9
NAM,Namibia,8
MOZ,Mozambique,8
IRE,Ireland,8
MAD,Madagascar,8
UGA,Uganda,8
ROC,Republic of the Congo,6
EST,Estonia,6
MAU,Mauritania,5
LBY,Libya,5
TKM,Turkmenistan,4
ESL,El Salvador,4
SOM,Somalia,3
SUR,Suriname,3
SLV,Slovenia,2
LIB,Liberia,0
BOS,Bosnia and Herzegovina,0
