short_name,long_name,power
USA,United States,39253
CHN,China,33000
RUS,Russia,27038
SKO,South Korea,14000
SAR,Saudi Arabia,12825
EGY,Egypt,11700
ISR,Israel,10275
UKR,Ukraine,10135
NKO,North Korea,10000
TUR,Turkey,8777
UAE,United Arab Emirates,8691
IND,India,8686
ALG,Algeria,7361
PAK,Pakistan,7330
ITA,Italy,6947
FRA,France,6028
SYR,Syria,5370
UKD,United Kingdom,5000
IRQ,Iraq,4739
GER,Germany,4583
IRN,Iran,4300
GRE,Greece,3691
JPN,Japan,3130
AUS,Australia,3051
SIN,Singapore,3000
MOR,Morocco,2901
JOR,Jordan,2897
POL,Poland,2547
VTN,Vietnam,2530
LEB,Lebanon,2228
MEX,Mexico,2199
FIN,Finland,2050
SPA,Spain,2023
TKM,Turkmenistan,2000
SAF,South Africa,2000
TAI,Taiwan,2000
BUL,Bulgaria,2000
CAN,Canada,1973
BRA,Brazil,1820
NGA,Nigeria,1789
BLR,Belarus,1560
NET,Netherlands,1546
AZR,Azerbaijan,1451
CHI,Chile,1430
THA,Thailand,1416
MLY,Malaysia,1387
ROM,Romania,1369
SWI,Switzerland,1338
MYA,Myanmar,1300
BAN,Bangladesh,1230
UZB,Uzbekistan,1215
INO,Indonesia,1178
UGA,Uganda,1081
AFG,Afghanistan,1062
SWE,Sweden,1036
BEL,Belgium,984
DEN,Denmark,972
GEO,Georgia,950
HUN,Hungary,944
SER,Serbia,904
TUN,Tunisia,878
BAH,Bahrain,843
KAZ,Kazakhstan,800
OMA,Oman,761
POR,Portugal,756
MON,Mongolia,750
ARM,Armenia,748
KUW,Kuwait,745
ARG,Argentina,739
NOR,Norway,730
CZC,Czechia,682
CUB,Cuba,670
SLK,Slovakia,661
YEM,Yemen,615
CRO,Croatia,604
VEN,Venezuela,600
COL,Colombia,595
ANG,Angola,595
SRL,Sri Lanka,570
PER,Peru,552
PHI,Philippines,513
KEN,Kenya,479
ALB,Albania,467
AST,Austria,467
URU,Uruguay,463
LBY,Libya,450
LIT,Lithuania,420
ECU,Ecuador,413
NAM,Namibia,410
SUD,Sudan,400
KYR,Kyrgyzstan,385
CHD,Chad,372
BKF,Burkina Faso,350
TAJ,Tajikistan,347
MOL,Moldova,341
CMB,Cambodia,340
MOZ,Mozambique,335
BOS,Bosnia and Herzegovina,332
LAT,Latvia,303
ZIM,Zimbabwe,300
SLV,Slovenia,269
NIC,Nicaragua,265
MAC,North Macedonia,251
QTR,Qatar,250
MAL,Mali,248
BOT,Botswana,245
ROC,Republic of the Congo,225
CAM,Cameroon,222
NEP,Nepal,214
NWZ,New Zealand,200
SSU,South Sudan,200
ZAM,Zambia,184
NGR,Niger,182
EST,Estonia,181
GHA,Ghana,150
BOL,Bolivia,137
GUA,Guatemala,135
ESL,El Salvador,125
IRE,Ireland,124
ETH,Ethiopia,114
IVC,Ivory Coast,109
MAD,Madagascar,103
DRC,Democratic Republic of the Congo,100
SOM,Somalia,100
MAU,Mauritania,95
HON,Honduras,92
GAB,Gabon,70
TAN,Tanzania,70
SUR,Suriname,66
PAN,Panama,65
PAR,Paraguay,63
CAR,Central African Republic,55
LAO,Laos,30
BUT,Bhutan,27
MTN,Montenegro,26
DOM,Dominican Republic,20
SIE,Sierra Leone,13
LIB,Liberia,0
