short_name,long_name,feijicang,gankouhematou,laodonlirenshu
USA,United States,13513,35,160400000
BRA,Brazil,4093,17,111600000
MEX,Mexico,1714,14,54510000
CAN,Canada,1467,13,19520000
RUS,Russia,1218,8,76530000
ARG,Argentina,1138,10,18000000
BOL,Bolivia,855,5,5070000
COL,Colombia,836,8,24670000
PAR,Paraguay,799,4,3428000
INO,Indonesia,673,16,126100000
SAF,South Africa,566,6,22190000
GER,Germany,539,13,45900000
CHN,China,507,22,806700000
CHI,Chile,481,11,8881000
AUS,Australia,480,29,12910000
FRA,France,464,17,30680000
UKD,United Kingdom,460,16,33500000
VEN,Venezuela,444,5,14210000
ECU,Ecuador,432,5,8011000
IND,India,346,13,521900000
IRN,Iran,319,4,30500000
GUA,Guatemala,291,2,6664000
PHI,Philippines,247,5,44460000
SWE,Sweden,231,11,5361000
SAR,Saudi Arabia,214,5,12340000
DRC,Democratic Republic of the Congo,198,11,31360000
KEN,Kenya,197,2,19820000
ZIM,Zimbabwe,196,2,7907000
PER,Peru,191,8,17030000
UKR,Ukraine,187,6,17990000
ANG,Angola,176,6,12510000
JPN,Japan,175,44,67770000
TAN,Tanzania,166,2,24890000
ALG,Algeria,157,12,11820000
PAK,Pakistan,151,2,63890000
SPA,Spain,150,12,22750000
FIN,Finland,148,6,2695000
NIC,Nicaragua,147,2,3046000
LBY,Libya,146,5,1114000
URU,Uruguay,133,1,1748000
CUB,Cuba,133,8,4691000
OMA,Oman,132,5,968800
ITA,Italy,129,14,25940000
CZC,Czechia,128,3,5427000
POL,Poland,126,4,17600000
NWZ,New Zealand,123,6,2655000
PAN,Panama,117,3,1633000
MLY,Malaysia,114,9,14940000
NAM,Namibia,112,2,956800
SKO,South Korea,111,11,27470000
HON,Honduras,103,4,3735000
IRQ,Iraq,102,3,8900000
THA,Thailand,101,5,38370000
TUR,Turkey,98,10,31300000
MOZ,Mozambique,98,3,12980000
KAZ,Kazakhstan,96,5,9147000
NOR,Norway,95,11,2797000
SYR,Syria,90,3,3767000
ZAM,Zambia,88,1,6898000
SSU,South Sudan,85,0,750000
EGY,Egypt,83,11,29950000
MAD,Madagascar,83,4,13400000
NKO,North Korea,82,7,14000000
DEN,Denmark,80,8,2998000
GRE,Greece,77,7,4769000
SUD,Sudan,74,1,11920000
BOT,Botswana,74,0,1177000
CRO,Croatia,69,6,1552000
ESL,El Salvador,68,2,2774000
BUL,Bulgaria,68,2,2581000
BLR,Belarus,65,1,4381000
MYA,Myanmar,64,3,22300000
POR,Portugal,64,4,5233000
SWI,Switzerland,63,1,5159000
LIT,Lithuania,61,3,1467000
SOM,Somalia,61,2,4154000
CHD,Chad,59,0,5654000
ETH,Ethiopia,57,2,52820000
YEM,Yemen,57,3,7425000
MOR,Morocco,55,7,12000000
SUR,Suriname,55,2,144000
NGA,Nigeria,54,4,60080000
UZB,Uzbekistan,53,1,18120000
AST,Austria,52,4,3997000
UGA,Uganda,47,3,20050000
NEP,Nepal,47,0,15600000
ISR,Israel,47,5,4021000
VTN,Vietnam,45,8,56460000
ROM,Romania,45,6,8951000
MON,Mongolia,44,0,1240000
GAB,Gabon,44,5,557800
UAE,United Arab Emirates,43,8,5344000
AFG,Afghanistan,43,2,7983000
LAT,Latvia,42,2,990000
HUN,Hungary,41,5,4599000
LAO,Laos,41,0,3582000
BEL,Belgium,41,8,5324000
IRE,Ireland,40,7,2226000
CAR,Central African Republic,39,2,2242000
TAI,Taiwan,37,6,11780000
