short_name,long_name,power
USA,United States,13513
BRA,Brazil,4093
MEX,Mexico,1714
CAN,Canada,1467
RUS,Russia,1218
ARG,Argentina,1138
BOL,Bolivia,855
COL,Colombia,836
PAR,Paraguay,799
INO,Indonesia,673
SAF,South Africa,566
GER,Germany,539
CHN,China,507
CHI,Chile,481
AUS,Australia,480
FRA,France,464
UKD,United Kingdom,460
VEN,Venezuela,444
ECU,Ecuador,432
IND,India,346
IRN,Iran,319
GUA,Guatemala,291
PHI,Philippines,247
SWE,Sweden,231
SAR,Saudi Arabia,214
DRC,Democratic Republic of the Congo,198
KEN,Kenya,197
ZIM,Zimbabwe,196
PER,Peru,191
UKR,Ukraine,187
ANG,Angola,176
JPN,Japan,175
TAN,Tanzania,166
ALG,Algeria,157
PAK,Pakistan,151
SPA,Spain,150
FIN,Finland,148
NIC,Nicaragua,147
LBY,Libya,146
URU,Uruguay,133
CUB,Cuba,133
OMA,Oman,132
ITA,Italy,129
CZC,Czechia,128
POL,Poland,126
NWZ,New Zealand,123
PAN,Panama,117
MLY,Malaysia,114
NAM,Namibia,112
SKO,South Korea,111
HON,Honduras,103
IRQ,Iraq,102
THA,Thailand,101
TUR,Turkey,98
MOZ,Mozambique,98
KAZ,Kazakhstan,96
NOR,Norway,95
SYR,Syria,90
ZAM,Zambia,88
SSU,South Sudan,85
EGY,Egypt,83
MAD,Madagascar,83
NKO,North Korea,82
DEN,Denmark,80
GRE,Greece,77
SUD,Sudan,74
BOT,Botswana,74
CRO,Croatia,69
ESL,El Salvador,68
BUL,Bulgaria,68
BLR,Belarus,65
MYA,Myanmar,64
POR,Portugal,64
SWI,Switzerland,63
LIT,Lithuania,61
SOM,Somalia,61
CHD,Chad,59
ETH,Ethiopia,57
YEM,Yemen,57
MOR,Morocco,55
SUR,Suriname,55
NGA,Nigeria,54
UZB,Uzbekistan,53
AST,Austria,52
UGA,Uganda,47
NEP,Nepal,47
ISR,Israel,47
VTN,Vietnam,45
ROM,Romania,45
MON,Mongolia,44
GAB,Gabon,44
UAE,United Arab Emirates,43
AFG,Afghanistan,43
LAT,Latvia,42
HUN,Hungary,41
LAO,Laos,41
BEL,Belgium,41
IRE,Ireland,40
CAR,Central African Republic,39
TAI,Taiwan,37
AZR,Azerbaijan,37
DOM,Dominican Republic,36
SLK,Slovakia,35
CAM,Cameroon,33
MAU,Mauritania,30
NGR,Niger,30
TUN,Tunisia,29
NET,Netherlands,29
LIB,Liberia,29
KYR,Kyrgyzstan,28
ROC,Republic of the Congo,27
IVC,Ivory Coast,27
SER,Serbia,26
TKM,Turkmenistan,26
MAL,Mali,25
TAJ,Tajikistan,24
BOS,Bosnia and Herzegovina,24
BKF,Burkina Faso,23
GEO,Georgia,22
SRL,Sri Lanka,19
JOR,Jordan,18
EST,Estonia,18
BAN,Bangladesh,18
CMB,Cambodia,16
SLV,Slovenia,16
ARM,Armenia,11
GHA,Ghana,10
