short_name,long_name,power
CHN,China,806700000
IND,India,521900000
USA,United States,160400000
INO,Indonesia,126100000
BRA,Brazil,111600000
RUS,Russia,76530000
BAN,Bangladesh,73410000
JPN,Japan,67770000
PAK,Pakistan,63890000
NGA,Nigeria,60080000
VTN,Vietnam,56460000
MEX,Mexico,54510000
ETH,Ethiopia,52820000
GER,Germany,45900000
PHI,Philippines,44460000
THA,Thailand,38370000
UKD,United Kingdom,33500000
DRC,Democratic Republic of the Congo,31360000
TUR,Turkey,31300000
FRA,France,30680000
IRN,Iran,30500000
EGY,Egypt,29950000
SKO,South Korea,27470000
ITA,Italy,25940000
TAN,Tanzania,24890000
COL,Colombia,24670000
SPA,Spain,22750000
MYA,Myanmar,22300000
SAF,South Africa,22190000
UGA,Uganda,20050000
KEN,Kenya,19820000
CAN,Canada,19520000
UZB,Uzbekistan,18120000
ARG,Argentina,18000000
UKR,Ukraine,17990000
POL,Poland,17600000
PER,Peru,17030000
NEP,Nepal,15600000
MLY,Malaysia,14940000
VEN,Venezuela,14210000
NKO,North Korea,14000000
MAD,Madagascar,13400000
MOZ,Mozambique,12980000
AUS,Australia,12910000
ANG,Angola,12510000
GHA,Ghana,12490000
SAR,Saudi Arabia,12340000
MOR,Morocco,12000000
SUD,Sudan,11920000
ALG,Algeria,11820000
TAI,Taiwan,11780000
CAM,Cameroon,9912000
KAZ,Kazakhstan,9147000
ROM,Romania,8951000
SRL,Sri Lanka,8937000
IRQ,Iraq,8900000
CHI,Chile,8881000
IVC,Ivory Coast,8747000
BKF,Burkina Faso,8501000
ECU,Ecuador,8011000
AFG,Afghanistan,7983000
NET,Netherlands,7969000
ZIM,Zimbabwe,7907000
CMB,Cambodia,7897000
YEM,Yemen,7425000
ZAM,Zambia,6898000
GUA,Guatemala,6664000
NGR,Niger,6500000
MAL,Mali,6447000
CHD,Chad,5654000
CZC,Czechia,5427000
SWE,Sweden,5361000
UAE,United Arab Emirates,5344000
BEL,Belgium,5324000
POR,Portugal,5233000
SWI,Switzerland,5159000
AZR,Azerbaijan,5118000
BOL,Bolivia,5070000
GRE,Greece,4769000
DOM,Dominican Republic,4732000
CUB,Cuba,4691000
HUN,Hungary,4599000
BLR,Belarus,4381000
SOM,Somalia,4154000
TUN,Tunisia,4054000
ISR,Israel,4021000
AST,Austria,3997000
SYR,Syria,3767000
HON,Honduras,3735000
SIN,Singapore,3668000
LAO,Laos,3582000
PAR,Paraguay,3428000
NIC,Nicaragua,3046000
DEN,Denmark,2998000
SIE,Sierra Leone,2972000
SER,Serbia,2920000
KYR,Kyrgyzstan,2841000
NOR,Norway,2797000
ESL,El Salvador,2774000
SLK,Slovakia,2758000
KUW,Kuwait,2695000
FIN,Finland,2695000
NWZ,New Zealand,2655000
BUL,Bulgaria,2581000
TKM,Turkmenistan,2305000
JOR,Jordan,2295000
TAJ,Tajikistan,2295000
CAR,Central African Republic,2242000
IRE,Ireland,2226000
LEB,Lebanon,2166000
ROC,Republic of the Congo,2055000
GEO,Georgia,1998000
QTR,Qatar,1953000
URU,Uruguay,1748000
LIB,Liberia,1677000
PAN,Panama,1633000
CRO,Croatia,1552000
BOS,Bosnia and Herzegovina,1510000
ARM,Armenia,1507000
LIT,Lithuania,1467000
MAU,Mauritania,1437000
ALB,Albania,1407000
MOL,Moldova,1295000
MON,Mongolia,1240000
BOT,Botswana,1177000
LBY,Libya,1114000
LAT,Latvia,990000
OMA,Oman,968800
NAM,Namibia,956800
MAC,North Macedonia,950800
SLV,Slovenia,931200
BAH,Bahrain,831600
SSU,South Sudan,750000
EST,Estonia,670200
GAB,Gabon,557800
BUT,Bhutan,353000
MTN,Montenegro,263200
SUR,Suriname,144000
