short_name,long_name,huangjin_chubei,purchase,yusuan
CHN,China,3236000000000,24810000000000,237000000000
JPN,Japan,1264000000000,5515000000000,49000000000
CAN,Canada,866800000000,1812000000000,22500000000
SWI,Switzerland,811200000000,531500000000,5000000000
SAR,Saudi Arabia,496400000000,1782500000000,67600000000
TAI,Taiwan,456700000000,1213500000000,10725000000
RUS,Russia,432700000000,4025000000000,48000000000
IND,India,409800000000,10065500000000,61000000000
SKO,South Korea,389200000000,2100000000000,44000000000
BRA,Brazil,374000000000,3300000000000,27800000000
SIN,Singapore,279900000000,543250000000,11200000000
THA,Thailand,202600000000,1278000000000,7100000000
GER,Germany,200100000000,4300500000000,50000000000
MEX,Mexico,175300000000,2521500000000,7000000000
FRA,France,156400000000,2904000000000,41500000000
ITA,Italy,151200000000,2344000000000,27800000000
UKD,United Kingdom,150800000000,2974000000000,55100000000
CZC,Czechia,148000000000,387000000000,2969000000
INO,Indonesia,130200000000,3402500000000,7600000000
USA,United States,123300000000,19850000000000,750000000000
IRN,Iran,120600000000,1757500000000,19600000000
POL,Poland,113300000000,1166500000000,12000000000
ISR,Israel,113000000000,328000000000,20000000000
TUR,Turkey,107700000000,2300000000000,19000000000
MLY,Malaysia,102400000000,977500000000,4000000000
ALG,Algeria,97890000000,635000000000,13000000000
UAE,United Arab Emirates,95370000000,709000000000,22755000000
PHI,Philippines,81570000000,931000000000,3470000000
DEN,Denmark,75250000000,292000000000,4760000000
LBY,Libya,74710000000,65000000000,3000000000
SPA,Spain,69410000000,1830000000000,15100000000
AUS,Australia,66580000000,1278000000000,26300000000
NOR,Norway,65920000000,386500000000,7179000000
PER,Peru,63830000000,443500000000,2560000000
SWE,Sweden,62220000000,530000000000,6326923600
LEB,Lebanon,55420000000,89650000000,2500000000
ARG,Argentina,55330000000,910600000000,4200000000
SAF,South Africa,50720000000,774350000000,4278000000
VTN,Vietnam,49500000000,686500000000,5500000000
IRQ,Iraq,48880000000,680800000000,1730000000
COL,Colombia,47130000000,724000000000,10600000000
ROM,Romania,44430000000,509000000000,5050000000
CHI,Chile,38980000000,458000000000,4250000000
NGA,Nigeria,38770000000,1130000000000,2155000000
NET,Netherlands,38440000000,946500000000,12419000000
EGY,Egypt,35890000000,1252000000000,11200000000
KUW,Kuwait,33700000000,285000000000,6831000000
BAN,Bangladesh,33420000000,700000000000,3800000000
KAZ,Kazakhstan,30750000000,489500000000,4000000000
BUL,Bulgaria,28380000000,158000000000,1079000000
HUN,Hungary,28000000000,297500000000,2080000000
MOR,Morocco,26270000000,305500000000,10000000000
BEL,Belgium,26160000000,535000000000,4921000000
POR,Portugal,26110000000,320500000000,3358000000
TKM,Turkmenistan,24910000000,109000000000,200000000
AST,Austria,21570000000,447000000000,3380000000
NWZ,New Zealand,20680000000,195500000000,4300000000
CRO,Croatia,18820000000,105000000000,800000000
UKR,Ukraine,18810000000,378450000000,5400000000
PAK,Pakistan,18460000000,1110500000000,11400000000
ANG,Angola,17290000000,190000000000,7000000000
OMA,Oman,16090000000,190000000000,8686000000
UZB,Uzbekistan,16000000000,236250000000,975000000
URU,Uruguay,15960000000,79805000000,4950000000
JOR,Jordan,15560000000,90720000000,2600000000
QTR,Qatar,15010000000,345000000000,6000000000
CMB,Cambodia,12200000000,68000000000,604000000
SER,Serbia,11910000000,108050000000,907000000
GUA,Guatemala,11770000000,142000000000,240000000
CUB,Cuba,11350000000,137400000000,500000000
FIN,Finland,10510000000,250000000000,3570000000
BOL,Bolivia,10260000000,86000000000,660000000
VEN,Venezuela,9661000000,356300000000,745000000
NEP,Nepal,9091000000,82305000000,213000000
SRL,Sri Lanka,7959000000,285000000000,2500000000
PAR,Paraguay,7877000000,92685000000,250000000
GRE,Greece,7807000000,302000000000,4844000000
GHA,Ghana,7555000000,141500000000,710000000
BOT,Botswana,7491000000,40000000000,450000000
KEN,Kenya,7354000000,171000000000,121000000
BLR,Belarus,7315000000,178066000000,623702800
AFG,Afghanistan,7187000000,72000000000,12000000000
DOM,Dominican Republic,6873000000,182000000000,760000000
AZR,Azerbaijan,6681000000,172000000000,2805000000
BOS,Bosnia and Herzegovina,6474000000,45000000000,165000000
IVC,Ivory Coast,6257000000,104145000000,550000000
TUN,Tunisia,5594000000,139000000000,550000000
TAN,Tanzania,5301000000,172100000000,223000000
NKO,North Korea,5000000000,40000000000,1600000000
MYA,Myanmar,4924000000,348000000000,2650000000
HON,Honduras,4708000000,48000000000,205000000
LAT,Latvia,4614000000,55755000000,724000000
LIT,Lithuania,4450000000,94000000000,1107000000
IRE,Ireland,4412000000,372900000000,870000000
UGA,Uganda,3654000000,92000000000,935000000
SLK,Slovakia,3622000000,185450000000,2121817575
ALB,Albania,3590000000,38000000000,250000000
ESL,El Salvador,3567000000,52000000000,167000000
MOZ,Mozambique,3361000000,38405000000,245000000
CAM,Cameroon,3235000000,91000000000,347000000
