short_name,long_name,power
CHN,China,3236000000000
JPN,Japan,1264000000000
CAN,Canada,866800000000
SWI,Switzerland,811200000000
SAR,Saudi Arabia,496400000000
TAI,Taiwan,456700000000
RUS,Russia,432700000000
IND,India,409800000000
SKO,South Korea,389200000000
BRA,Brazil,374000000000
SIN,Singapore,279900000000
THA,Thailand,202600000000
GER,Germany,200100000000
MEX,Mexico,175300000000
FRA,France,156400000000
ITA,Italy,151200000000
UKD,United Kingdom,150800000000
CZC,Czechia,148000000000
INO,Indonesia,130200000000
USA,United States,123300000000
IRN,Iran,120600000000
POL,Poland,113300000000
ISR,Israel,113000000000
TUR,Turkey,107700000000
MLY,Malaysia,102400000000
ALG,Algeria,97890000000
UAE,United Arab Emirates,95370000000
PHI,Philippines,81570000000
DEN,Denmark,75250000000
LBY,Libya,74710000000
SPA,Spain,69410000000
AUS,Australia,66580000000
NOR,Norway,65920000000
PER,Peru,63830000000
SWE,Sweden,62220000000
LEB,Lebanon,55420000000
ARG,Argentina,55330000000
SAF,South Africa,50720000000
VTN,Vietnam,49500000000
IRQ,Iraq,48880000000
COL,Colombia,47130000000
ROM,Romania,44430000000
CHI,Chile,38980000000
NGA,Nigeria,38770000000
NET,Netherlands,38440000000
EGY,Egypt,35890000000
KUW,Kuwait,33700000000
BAN,Bangladesh,33420000000
KAZ,Kazakhstan,30750000000
BUL,Bulgaria,28380000000
HUN,Hungary,28000000000
MOR,Morocco,26270000000
BEL,Belgium,26160000000
POR,Portugal,26110000000
TKM,Turkmenistan,24910000000
AST,Austria,21570000000
NWZ,New Zealand,20680000000
CRO,Croatia,18820000000
UKR,Ukraine,18810000000
PAK,Pakistan,18460000000
ANG,Angola,17290000000
OMA,Oman,16090000000
UZB,Uzbekistan,16000000000
URU,Uruguay,15960000000
JOR,Jordan,15560000000
QTR,Qatar,15010000000
CMB,Cambodia,12200000000
SER,Serbia,11910000000
GUA,Guatemala,11770000000
CUB,Cuba,11350000000
FIN,Finland,10510000000
BOL,Bolivia,10260000000
VEN,Venezuela,9661000000
NEP,Nepal,9091000000
SRL,Sri Lanka,7959000000
PAR,Paraguay,7877000000
GRE,Greece,7807000000
GHA,Ghana,7555000000
BOT,Botswana,7491000000
KEN,Kenya,7354000000
BLR,Belarus,7315000000
AFG,Afghanistan,7187000000
DOM,Dominican Republic,6873000000
AZR,Azerbaijan,6681000000
BOS,Bosnia and Herzegovina,6474000000
IVC,Ivory Coast,6257000000
TUN,Tunisia,5594000000
TAN,Tanzania,5301000000
NKO,North Korea,5000000000
MYA,Myanmar,4924000000
HON,Honduras,4708000000
LAT,Latvia,4614000000
LIT,Lithuania,4450000000
IRE,Ireland,4412000000
UGA,Uganda,3654000000
SLK,Slovakia,3622000000
ALB,Albania,3590000000
ESL,El Salvador,3567000000
MOZ,Mozambique,3361000000
CAM,Cameroon,3235000000
GEO,Georgia,3039000000
MON,Mongolia,3016000000
ETH,Ethiopia,3013000000
MOL,Moldova,2803000000
MAC,North Macedonia,2802000000
NIC,Nicaragua,2758000000
PAN,Panama,2703000000
NAM,Namibia,2432000000
ECU,Ecuador,2395000000
BAH,Bahrain,2349000000
ARM,Armenia,2314000000
KYR,Kyrgyzstan,2177000000
ZAM,Zambia,2082000000
MAD,Madagascar,1600000000
NGR,Niger,1314000000
TAJ,Tajikistan,1292000000
LAO,Laos,1270000000
BUT,Bhutan,1206000000
MTN,Montenegro,1077000000
GAB,Gabon,981600000
SLV,Slovenia,889900000
MAU,Mauritania,875000000
MAL,Mali,647800000
ROC,Republic of the Congo,505700000
SIE,Sierra Leone,478000000
LIB,Liberia,459800000
DRC,Democratic Republic of the Congo,457500000
ZIM,Zimbabwe,431800000
SUR,Suriname,424400000
SYR,Syria,407300000
EST,Estonia,345000000
CAR,Central African Republic,304300000
YEM,Yemen,245400000
SUD,Sudan,198000000
SSU,South Sudan,73000000
BKF,Burkina Faso,49000000
SOM,Somalia,30450000
CHD,Chad,22900000
