short_name,long_name,power
CHN,China,24810000000000
USA,United States,19850000000000
IND,India,10065500000000
JPN,Japan,5515000000000
GER,Germany,4300500000000
RUS,Russia,4025000000000
INO,Indonesia,3402500000000
BRA,Brazil,3300000000000
UKD,United Kingdom,2974000000000
FRA,France,2904000000000
MEX,Mexico,2521500000000
ITA,Italy,2344000000000
TUR,Turkey,2300000000000
SKO,South Korea,2100000000000
SPA,Spain,1830000000000
CAN,Canada,1812000000000
SAR,Saudi Arabia,1782500000000
IRN,Iran,1757500000000
THA,Thailand,1278000000000
AUS,Australia,1278000000000
EGY,Egypt,1252000000000
TAI,Taiwan,1213500000000
POL,Poland,1166500000000
NGA,Nigeria,1130000000000
PAK,Pakistan,1110500000000
MLY,Malaysia,977500000000
NET,Netherlands,946500000000
PHI,Philippines,931000000000
ARG,Argentina,910600000000
SAF,South Africa,774350000000
COL,Colombia,724000000000
UAE,United Arab Emirates,709000000000
BAN,Bangladesh,700000000000
VTN,Vietnam,686500000000
IRQ,Iraq,680800000000
ALG,Algeria,635000000000
SIN,Singapore,543250000000
BEL,Belgium,535000000000
SWI,Switzerland,531500000000
SWE,Sweden,530000000000
ROM,Romania,509000000000
KAZ,Kazakhstan,489500000000
CHI,Chile,458000000000
AST,Austria,447000000000
PER,Peru,443500000000
CZC,Czechia,387000000000
NOR,Norway,386500000000
UKR,Ukraine,378450000000
IRE,Ireland,372900000000
VEN,Venezuela,356300000000
MYA,Myanmar,348000000000
QTR,Qatar,345000000000
ISR,Israel,328000000000
POR,Portugal,320500000000
MOR,Morocco,305500000000
GRE,Greece,302000000000
HUN,Hungary,297500000000
DEN,Denmark,292000000000
KUW,Kuwait,285000000000
SRL,Sri Lanka,285000000000
FIN,Finland,250000000000
UZB,Uzbekistan,236250000000
ETH,Ethiopia,216000000000
NWZ,New Zealand,195500000000
ECU,Ecuador,193000000000
OMA,Oman,190000000000
ANG,Angola,190000000000
SLK,Slovakia,185450000000
DOM,Dominican Republic,182000000000
SUD,Sudan,181000000000
BLR,Belarus,178066000000
TAN,Tanzania,172100000000
AZR,Azerbaijan,172000000000
KEN,Kenya,171000000000
BUL,Bulgaria,158000000000
GUA,Guatemala,142000000000
GHA,Ghana,141500000000
TUN,Tunisia,139000000000
CUB,Cuba,137400000000
TKM,Turkmenistan,109000000000
PAN,Panama,109000000000
SER,Serbia,108050000000
CRO,Croatia,105000000000
IVC,Ivory Coast,104145000000
LIT,Lithuania,94000000000
PAR,Paraguay,92685000000
UGA,Uganda,92000000000
CAM,Cameroon,91000000000
JOR,Jordan,90720000000
LEB,Lebanon,89650000000
BOL,Bolivia,86000000000
NEP,Nepal,82305000000
URU,Uruguay,79805000000
SLV,Slovenia,74000000000
BAH,Bahrain,73000000000
AFG,Afghanistan,72000000000
ZAM,Zambia,71270000000
DRC,Democratic Republic of the Congo,70000000000
YEM,Yemen,69000000000
CMB,Cambodia,68000000000
LBY,Libya,65000000000
LAT,Latvia,55755000000
ESL,El Salvador,52000000000
LAO,Laos,52000000000
HON,Honduras,48000000000
SYR,Syria,45000000000
BOS,Bosnia and Herzegovina,45000000000
MAL,Mali,43000000000
EST,Estonia,42000000000
MAD,Madagascar,41415000000
GEO,Georgia,41320000000
MON,Mongolia,41000000000
NKO,North Korea,40000000000
BOT,Botswana,40000000000
MOZ,Mozambique,38405000000
NIC,Nicaragua,38015000000
ALB,Albania,38000000000
GAB,Gabon,37115000000
BKF,Burkina Faso,35850000000
ZIM,Zimbabwe,35000000000
MAC,North Macedonia,31500000000
TAJ,Tajikistan,30230000000
ROC,Republic of the Congo,28450000000
ARM,Armenia,28340000000
CHD,Chad,27000000000
NAM,Namibia,26600000000
MAU,Mauritania,24705000000
KYR,Kyrgyzstan,24115000000
NGR,Niger,22855000000
MOL,Moldova,22720000000
SOM,Somalia,21090000000
SSU,South Sudan,19000000000
SIE,Sierra Leone,12085000000
MTN,Montenegro,11500000000
SUR,Suriname,8838000000
BUT,Bhutan,7700000000
LIB,Liberia,6160000000
CAR,Central African Republic,3400000000
