short_name,long_name,power
USA,United States,750000000000
CHN,China,237000000000
SAR,Saudi Arabia,67600000000
IND,India,61000000000
UKD,United Kingdom,55100000000
GER,Germany,50000000000
JPN,Japan,49000000000
RUS,Russia,48000000000
SKO,South Korea,44000000000
FRA,France,41500000000
BRA,Brazil,27800000000
ITA,Italy,27800000000
AUS,Australia,26300000000
UAE,United Arab Emirates,22755000000
CAN,Canada,22500000000
ISR,Israel,20000000000
IRN,Iran,19600000000
TUR,Turkey,19000000000
SPA,Spain,15100000000
ALG,Algeria,13000000000
NET,Netherlands,12419000000
POL,Poland,12000000000
AFG,Afghanistan,12000000000
PAK,Pakistan,11400000000
EGY,Egypt,11200000000
SIN,Singapore,11200000000
TAI,Taiwan,10725000000
COL,Colombia,10600000000
MOR,Morocco,10000000000
OMA,Oman,8686000000
INO,Indonesia,7600000000
NOR,Norway,7179000000
THA,Thailand,7100000000
ANG,Angola,7000000000
MEX,Mexico,7000000000
KUW,Kuwait,6831000000
SWE,Sweden,6326923600
QTR,Qatar,6000000000
VTN,Vietnam,5500000000
UKR,Ukraine,5400000000
ROM,Romania,5050000000
SWI,Switzerland,5000000000
URU,Uruguay,4950000000
BEL,Belgium,4921000000
GRE,Greece,4844000000
DEN,Denmark,4760000000
NWZ,New Zealand,4300000000
SAF,South Africa,4278000000
CHI,Chile,4250000000
ARG,Argentina,4200000000
MLY,Malaysia,4000000000
KAZ,Kazakhstan,4000000000
BAN,Bangladesh,3800000000
FIN,Finland,3570000000
PHI,Philippines,3470000000
AST,Austria,3380000000
POR,Portugal,3358000000
LBY,Libya,3000000000
CZC,Czechia,2969000000
AZR,Azerbaijan,2805000000
MYA,Myanmar,2650000000
JOR,Jordan,2600000000
PER,Peru,2560000000
LEB,Lebanon,2500000000
ECU,Ecuador,2500000000
SRL,Sri Lanka,2500000000
SUD,Sudan,2470000000
NGA,Nigeria,2155000000
SLK,Slovakia,2121817575
HUN,Hungary,2080000000
SYR,Syria,1800000000
IRQ,Iraq,1730000000
TAJ,Tajikistan,1600000000
NKO,North Korea,1600000000
BAH,Bahrain,1415000000
YEM,Yemen,1400000000
ARM,Armenia,1385000000
LIT,Lithuania,1107000000
BUL,Bulgaria,1079000000
UZB,Uzbekistan,975000000
UGA,Uganda,935000000
SER,Serbia,907000000
IRE,Ireland,870000000
CRO,Croatia,800000000
DOM,Dominican Republic,760000000
VEN,Venezuela,745000000
LAT,Latvia,724000000
ROC,Republic of the Congo,715000000
GHA,Ghana,710000000
EST,Estonia,685000000
BOL,Bolivia,660000000
BLR,Belarus,623702800
CMB,Cambodia,604000000
SLV,Slovenia,581000000
IVC,Ivory Coast,550000000
TUN,Tunisia,550000000
NAM,Namibia,505000000
CUB,Cuba,500000000
PAN,Panama,500000000
BOT,Botswana,450000000
ETH,Ethiopia,350000000
CAM,Cameroon,347000000
GEO,Georgia,327000000
NGR,Niger,325000000
PAR,Paraguay,250000000
ALB,Albania,250000000
MOZ,Mozambique,245000000
GUA,Guatemala,240000000
TAN,Tanzania,223000000
NEP,Nepal,213000000
HON,Honduras,205000000
TKM,Turkmenistan,200000000
CHD,Chad,200000000
ESL,El Salvador,167000000
BOS,Bosnia and Herzegovina,165000000
MON,Mongolia,155000000
NIC,Nicaragua,140000000
BKF,Burkina Faso,130000000
KEN,Kenya,121000000
MAD,Madagascar,115000000
MAC,North Macedonia,108152512
ZIM,Zimbabwe,100000000
DRC,Democratic Republic of the Congo,100000000
GAB,Gabon,83000000
SSU,South Sudan,80000000
SIE,Sierra Leone,75500000
MAL,Mali,70000000
MTN,Montenegro,65000000
SUR,Suriname,63000000
SOM,Somalia,62200000
MAU,Mauritania,50250000
ZAM,Zambia,40000000
MOL,Moldova,30000000
BUT,Bhutan,25120000
KYR,Kyrgyzstan,20000000
CAR,Central African Republic,20000000
LAO,Laos,18500000
LIB,Liberia,13000000
