short_name,long_name,power
CHN,China,621105706
IND,India,494249390
USA,United States,119664970
INO,Indonesia,108620545
BRA,Brazil,84595522
PAK,Pakistan,76111979
BAN,Bangladesh,63130631
MEX,Mexico,48972939
RUS,Russia,46658907
JPN,Japan,43637780
NGA,Nigeria,43180760
PHI,Philippines,42547960
VTN,Vietnam,41804394
IRN,Iran,39842164
EGY,Egypt,36075104
TUR,Turkey,35151882
GER,Germany,29608447
THA,Thailand,27368121
DRC,Democratic Republic of the Congo,27289928
ETH,Ethiopia,25508954
UKD,United Kingdom,23958731
FRA,France,23818487
ITA,Italy,22688913
MYA,Myanmar,21816482
SKO,South Korea,21081420
COL,Colombia,19079739
SPA,Spain,18740382
ALG,Algeria,17536738
ARG,Argentina,17152516
SAR,Saudi Arabia,16198927
UKR,Ukraine,15648117
POL,Poland,15437432
SUD,Sudan,15351193
MOR,Morocco,14532034
SAF,South Africa,14175119
UZB,Uzbekistan,13366555
IRQ,Iraq,13283385
CAN,Canada,13114244
KEN,Kenya,12662245
MLY,Malaysia,12587121
PER,Peru,12435364
VEN,Venezuela,11693306
NEP,Nepal,11305521
SYR,Syria,10707626
NKO,North Korea,10123601
TAI,Taiwan,10001383
ROM,Romania,9015143
AUS,Australia,8888501
SRL,Sri Lanka,8850927
UGA,Uganda,8750873
GHA,Ghana,8401335
YEM,Yemen,8337004
AFG,Afghanistan,8165674
CHI,Chile,7246664
MAD,Madagascar,7243549
IVC,Ivory Coast,7098235
KAZ,Kazakhstan,6498847
NET,Netherlands,6334978
ECU,Ecuador,6180331
GUA,Guatemala,5905188
CMB,Cambodia,5684674
TAN,Tanzania,5642174
CAM,Cameroon,5625884
BKF,Burkina Faso,5553600
TUN,Tunisia,5031193
UAE,United Arab Emirates,4924387
CUB,Cuba,4808419
NGR,Niger,4512018
CZC,Czechia,4060953
GRE,Greece,4044611
POR,Portugal,3953253
DOM,Dominican Republic,3913692
BEL,Belgium,3841305
BOL,Bolivia,3837015
MAL,Mali,3789660
AZR,Azerbaijan,3781760
HUN,Hungary,3772972
BLR,Belarus,3697316
AST,Austria,3615922
ZAM,Zambia,3527469
SWE,Sweden,3441651
CHD,Chad,3377267
SSU,South Sudan,3356899
TAJ,Tajikistan,3235780
ZIM,Zimbabwe,3182929
ANG,Angola,3147079
HON,Honduras,3069492
LBY,Libya,3044810
ISR,Israel,3027826
SWI,Switzerland,3011136
PAR,Paraguay,2866511
JOR,Jordan,2864768
SER,Serbia,2729532
SIN,Singapore,2691600
BUL,Bulgaria,2682154
NIC,Nicaragua,2575871
ESL,El Salvador,2456854
MOZ,Mozambique,2453764
KYR,Kyrgyzstan,2393649
LAO,Laos,2335415
SLK,Slovakia,2296555
TKM,Turkmenistan,2277159
DEN,Denmark,2093089
BOS,Bosnia and Herzegovina,1994729
IRE,Ireland,1964427
FIN,Finland,1905929
GEO,Georgia,1822293
LEB,Lebanon,1809862
LIB,Liberia,1790446
NOR,Norway,1771018
NWZ,New Zealand,1686444
MOL,Moldova,1670022
SOM,Somalia,1621300
CRO,Croatia,1601699
OMA,Oman,1529846
MON,Mongolia,1509445
ARM,Armenia,1396726
KUW,Kuwait,1382540
LIT,Lithuania,1382533
CAR,Central African Republic,1347851
URU,Uruguay,1300347
ALB,Albania,1291523
ROC,Republic of the Congo,1172946
MAU,Mauritania,1082540
PAN,Panama,1055819
MAC,North Macedonia,877245
SIE,Sierra Leone,852559
SLV,Slovenia,822226
BAH,Bahrain,685530
LAT,Latvia,672476
BOT,Botswana,573710
GAB,Gabon,477834
QTR,Qatar,474427
EST,Estonia,461911
NAM,Namibia,378717
BUT,Bhutan,105377
MTN,Montenegro,86399
SUR,Suriname,77653
