short_name,long_name,power
CHN,China,2183000
IND,India,1444000
USA,United States,1400000
NKO,North Korea,1280000
RUS,Russia,1013628
PAK,Pakistan,654000
SKO,South Korea,580000
IRN,Iran,523000
VTN,Vietnam,482000
SAR,Saudi Arabia,478000
EGY,Egypt,440000
MYA,Myanmar,406000
INO,Indonesia,400000
THA,Thailand,360850
TUR,Turkey,355000
VEN,Venezuela,343000
BRA,Brazil,334500
MOR,Morocco,310000
COL,Colombia,295000
MEX,Mexico,277000
FRA,France,268000
UKR,Ukraine,255000
JPN,Japan,247160
SRL,Sri Lanka,245000
GRE,Greece,200000
SSU,South Sudan,197500
UKD,United Kingdom,192660
GER,Germany,182650
ITA,Italy,175000
AFG,Afghanistan,175000
ISR,Israel,170000
IRQ,Iraq,165000
TAI,Taiwan,165000
ETH,Ethiopia,162000
BAN,Bangladesh,160000
SYR,Syria,142000
DRC,Democratic Republic of the Congo,134000
KAZ,Kazakhstan,132000
ALG,Algeria,130000
AZR,Azerbaijan,126000
PHI,Philippines,125000
CMB,Cambodia,125000
SPA,Spain,124000
NGA,Nigeria,120000
POL,Poland,118000
MLY,Malaysia,110000
ANG,Angola,107000
SUD,Sudan,104000
JOR,Jordan,100000
NEP,Nepal,95000
PER,Peru,90000
ARG,Argentina,83515
CHI,Chile,77000
LEB,Lebanon,75000
SIN,Singapore,72500
CAN,Canada,71500
ROM,Romania,70000
SAF,South Africa,66300
UAE,United Arab Emirates,64000
AUS,Australia,60000
DOM,Dominican Republic,55000
UZB,Uzbekistan,50000
CUB,Cuba,50000
BLR,Belarus,45500
UGA,Uganda,45000
ARM,Armenia,45000
YEM,Yemen,43500
OMA,Oman,42500
ECU,Ecuador,40000
TUN,Tunisia,36000
NET,Netherlands,35500
BOL,Bolivia,35000
CHD,Chad,30500
POR,Portugal,30500
SER,Serbia,30000
LAO,Laos,30000
BUL,Bulgaria,30000
BEL,Belgium,30000
LBY,Libya,30000
TAN,Tanzania,30000
ZIM,Zimbabwe,30000
SWE,Sweden,30000
IVC,Ivory Coast,25500
CZC,Czechia,25000
ESL,El Salvador,25000
HUN,Hungary,25000
URU,Uruguay,25000
KEN,Kenya,24150
NOR,Norway,24000
AST,Austria,22500
TKM,Turkmenistan,22000
FIN,Finland,21500
SWI,Switzerland,21000
GUA,Guatemala,20000
SOM,Somalia,20000
GEO,Georgia,20000
LIT,Lithuania,18500
DEN,Denmark,16000
MAU,Mauritania,16000
SLK,Slovakia,16000
CRO,Croatia,15500
GHA,Ghana,15500
KUW,Kuwait,15500
ZAM,Zambia,15100
HON,Honduras,15000
CAM,Cameroon,14500
MAD,Madagascar,13500
NIC,Nicaragua,12000
QTR,Qatar,12000
BKF,Burkina Faso,11200
MOZ,Mozambique,11200
KYR,Kyrgyzstan,11000
BOS,Bosnia and Herzegovina,10500
PAR,Paraguay,10500
NAM,Namibia,10000
ROC,Republic of the Congo,10000
PAN,Panama,10000
MON,Mongolia,10000
ALB,Albania,10000
MAL,Mali,10000
BOT,Botswana,9000
IRE,Ireland,9000
TAJ,Tajikistan,9000
NWZ,New Zealand,9000
SIE,Sierra Leone,8500
BAH,Bahrain,8200
MAC,North Macedonia,8000
SLV,Slovenia,7300
