short_name,long_name,power
IND,India,23116044
CHN,China,19614518
JPN,Japan,11782201
GER,Germany,7905455
INO,Indonesia,4540339
PAK,Pakistan,4338383
USA,United States,4188274
NGA,Nigeria,3454461
BRA,Brazil,3383821
BAN,Bangladesh,3060573
DRC,Democratic Republic of the Congo,2183194
MEX,Mexico,2154809
PHI,Philippines,2127398
ETH,Ethiopia,1989698
VTN,Vietnam,1651274
EGY,Egypt,1551229
TUR,Turkey,1406075
IRN,Iran,1394476
RUS,Russia,1306449
SUD,Sudan,1197393
THA,Thailand,1094725
MYA,Myanmar,1025375
SAF,South Africa,963908
UGA,Uganda,866336
KEN,Kenya,848370
COL,Colombia,839509
AFG,Afghanistan,780843
FRA,France,776483
NEP,Nepal,746164
UKD,United Kingdom,745117
ALG,Algeria,685686
ARG,Argentina,670663
IRQ,Iraq,664169
SKO,South Korea,632443
PER,Peru,621768
MOR,Morocco,604533
UZB,Uzbekistan,601495
VEN,Venezuela,584665
SAR,Saudi Arabia,583161
GEO,Georgia,577667
YEM,Yemen,575253
ITA,Italy,567223
SYR,Syria,535381
GHA,Ghana,529284
MLY,Malaysia,526142
IVC,Ivory Coast,525269
TAN,Tanzania,507796
MAD,Madagascar,507048
UKR,Ukraine,469444
POL,Poland,463123
CAM,Cameroon,438256
CAN,Canada,427524
NKO,North Korea,415068
SPA,Spain,374808
NGR,Niger,374498
GUA,Guatemala,363760
CHD,Chad,340327
BKF,Burkina Faso,333216
SRL,Sri Lanka,327484
ANG,Angola,320908
MAL,Mali,318331
ZAM,Zambia,317472
CMB,Cambodia,312657
ZIM,Zimbabwe,308744
ECU,Ecuador,302836
TAI,Taiwan,300041
AUS,Australia,282654
CHI,Chile,281171
SSU,South Sudan,268552
KAZ,Kazakhstan,259954
ROM,Romania,225379
BOL,Bolivia,218211
TUN,Tunisia,201248
NET,Netherlands,196384
HON,Honduras,190002
MOZ,Mozambique,171764
TAJ,Tajikistan,152082
AZR,Azerbaijan,151270
LAO,Laos,144796
CUB,Cuba,144253
PAR,Paraguay,143326
JOR,Jordan,143238
ESL,El Salvador,140041
NIC,Nicaragua,139097
SOM,Somalia,121598
ISR,Israel,121113
LBY,Libya,118748
POR,Portugal,118058
BEL,Belgium,115239
HUN,Hungary,113189
CAR,Central African Republic,111872
KYR,Kyrgyzstan,110108
TKM,Turkmenistan,109304
GRE,Greece,104755
SWE,Sweden,103250
ROC,Republic of the Congo,100873
BLR,Belarus,99828
CZC,Czechia,99087
DOM,Dominican Republic,95494
AST,Austria,95099
SWI,Switzerland,90334
SER,Serbia,81886
UAE,United Arab Emirates,78790
DEN,Denmark,77444
MAU,Mauritania,73613
NOR,Norway,70841
LEB,Lebanon,68775
SIN,Singapore,67290
MOL,Moldova,66800
BUL,Bulgaria,65445
SLK,Slovakia,61777
ALB,Albania,61593
OMA,Oman,61194
MON,Mongolia,60378
NWZ,New Zealand,60375
LIB,Liberia,60338
FIN,Finland,57178
IRE,Ireland,56183
CRO,Croatia,55098
URU,Uruguay,54224
BOS,Bosnia and Herzegovina,51863
PAN,Panama,44978
ARM,Armenia,44835
GAB,Gabon,43005
LIT,Lithuania,39402
KUW,Kuwait,34425
SIE,Sierra Leone,33250
MAC,North Macedonia,30704
NAM,Namibia,29919
BOT,Botswana,22375
SLV,Slovenia,20556
BAH,Bahrain,17255
LAT,Latvia,16139
EST,Estonia,13857
QTR,Qatar,11861
BUT,Bhutan,4110
MTN,Montenegro,3370
SUR,Suriname,3028
