short_name,long_name,power
USA,United States,1650
RUS,Russia,1468
CHN,China,1447
IND,India,1049
JPN,Japan,666
SKO,South Korea,662
FRA,France,587
UKD,United Kingdom,582
EGY,Egypt,534
BRA,Brazil,503
TUR,Turkey,476
ITA,Italy,473
GER,Germany,457
IRN,Iran,456
PAK,Pakistan,423
INO,Indonesia,393
SAR,Saudi Arabia,329
ISR,Israel,321
AUS,Australia,310
SPA,Spain,295
POL,Poland,294
VTN,Vietnam,280
THA,Thailand,280
CAN,Canada,269
NKO,North Korea,268
TAI,Taiwan,249
UKR,Ukraine,224
ALG,Algeria,214
SAF,South Africa,200
SWI,Switzerland,190
NOR,Norway,189
SWE,Sweden,188
GRE,Greece,188
CZC,Czechia,180
MYA,Myanmar,175
NET,Netherlands,168
COL,Colombia,165
MEX,Mexico,164
ROM,Romania,161
PER,Peru,160
VEN,Venezuela,155
NGA,Nigeria,154
ARG,Argentina,153
MLY,Malaysia,152
UAE,United Arab Emirates,142
BAN,Bangladesh,141
CHI,Chile,130
PHI,Philippines,127
DEN,Denmark,126
IRQ,Iraq,126
SIN,Singapore,125
UZB,Uzbekistan,123
BLR,Belarus,122
HUN,Hungary,121
SYR,Syria,121
ANG,Angola,119
MOR,Morocco,118
SLK,Slovakia,118
FIN,Finland,117
ETH,Ethiopia,116
POR,Portugal,116
BUL,Bulgaria,112
KAZ,Kazakhstan,109
AZR,Azerbaijan,105
SER,Serbia,105
AST,Austria,104
BOL,Bolivia,100
ECU,Ecuador,99
CRO,Croatia,98
BEL,Belgium,95
DRC,Democratic Republic of the Congo,87
JOR,Jordan,87
CUB,Cuba,81
YEM,Yemen,80
OMA,Oman,79
SUD,Sudan,76
TKM,Turkmenistan,75
AFG,Afghanistan,74
NWZ,New Zealand,73
LBY,Libya,73
TUN,Tunisia,68
SRL,Sri Lanka,68
LIT,Lithuania,67
KEN,Kenya,65
KUW,Kuwait,63
UGA,Uganda,61
CHD,Chad,61
ZAM,Zambia,60
GEO,Georgia,59
QTR,Qatar,59
ZIM,Zimbabwe,56
GUA,Guatemala,54
BAH,Bahrain,53
TAJ,Tajikistan,53
URU,Uruguay,52
MAL,Mali,52
BKF,Burkina Faso,52
KYR,Kyrgyzstan,51
IRE,Ireland,51
SLV,Slovenia,51
CAM,Cameroon,50
LAT,Latvia,49
NGR,Niger,49
IVC,Ivory Coast,49
MON,Mongolia,49
GHA,Ghana,48
CMB,Cambodia,48
BOT,Botswana,48
TAN,Tanzania,48
HON,Honduras,47
ARM,Armenia,47
MOL,Moldova,46
PAR,Paraguay,45
NIC,Nicaragua,43
ALB,Albania,43
MOZ,Mozambique,42
SSU,South Sudan,42
LEB,Lebanon,39
EST,Estonia,38
DOM,Dominican Republic,36
ROC,Republic of the Congo,33
NEP,Nepal,33
MTN,Montenegro,33
MAU,Mauritania,32
MAD,Madagascar,32
ESL,El Salvador,31
MAC,North Macedonia,31
NAM,Namibia,30
CAR,Central African Republic,30
GAB,Gabon,29
LAO,Laos,29
PAN,Panama,27
BOS,Bosnia and Herzegovina,25
SIE,Sierra Leone,23
SUR,Suriname,21
SOM,Somalia,21
LIB,Liberia,17
BUT,Bhutan,594
