short_name,long_name,shiyoushengcang,shiyouchubei,shiyouxiaohao
RUS,Russia,10580000,80000000000,3225000
SAR,Saudi Arabia,10130000,266500000000,4000000
USA,United States,9352000,36520000000,20000000
IRN,Iran,4469000,158400000000,2000000
IRQ,Iraq,4454000,142500000000,825000
CAN,Canada,3977000,169700000000,2500000
CHN,China,3838000,25620000000,13500000
UAE,United Arab Emirates,3174000,97800000000,575000
KUW,Kuwait,2753000,101500000000,345000
BRA,Brazil,2622000,13000000000,3020000
VEN,Venezuela,2007000,300900000000,575000
MEX,Mexico,1981000,7640000000,2000000
NGA,Nigeria,1946000,37060000000,275000
KAZ,Kazakhstan,1777000,30000000000,245000
ANG,Angola,1666000,8273000000,82300
NOR,Norway,1618000,6611000000,260000
QTR,Qatar,1500000,25240000000,190000
ALG,Algeria,1306000,12200000000,325000
OMA,Oman,970400,5373000000,100000
UKD,United Kingdom,910500,2564000000,1600000
LBY,Libya,897100,48360000000,315000
COL,Colombia,853600,2002000000,300000
INO,Indonesia,801700,3230000000,1630000
AZR,Azerbaijan,789300,7000000000,180000
IND,India,733900,4621000000,5000000
MLY,Malaysia,647900,3600000000,835000
EGY,Egypt,589400,4400000000,832000
ECU,Ecuador,531300,8273000000,282000
ARG,Argentina,479400,2185000000,685000
VTN,Vietnam,271400,4400000000,525000
AUS,Australia,263000,1821000000,1005000
TUR,Turkey,245000,388500000,845000
ROC,Republic of the Congo,244200,1600000000,185000
THA,Thailand,239700,396400000,1345000
TKM,Turkmenistan,230880,600000000,150000
GAB,Gabon,198800,2000000000,16500
GHA,Ghana,151000,660000000,65000
SSU,South Sudan,150200,3750000000,60000
DEN,Denmark,137100,490600000,162000
CHD,Chad,128000,1500000000,100000
SUD,Sudan,102300,5000000000,96800
PAK,Pakistan,89720,350600000,575000
ITA,Italy,77530,556700000,1300000
CAM,Cameroon,75720,200000000,32500
ROM,Romania,73740,600000000,240000
BOL,Bolivia,59330,211500000,60000
IVC,Ivory Coast,54000,100000000,25600
CUB,Cuba,50000,124000000,152000
TUN,Tunisia,49170,425000000,90500
UZB,Uzbekistan,46070,594000000,142000
BAH,Bahrain,45000,124600000,55000
PER,Peru,43520,473000000,210000
GER,Germany,43410,145400000,2500000
BLR,Belarus,32000,198000000,190000
NWZ,New Zealand,31480,56900000,150000
UKR,Ukraine,29650,395000000,325000
POL,Poland,20070,137800000,585000
MON,Mongolia,20000,0,25000
DRC,Democratic Republic of the Congo,19160,180000000,10500
SER,Serbia,18740,77500000,75000
NET,Netherlands,18170,113200000,840000
SUR,Suriname,17000,83980000,15100
ALB,Albania,16000,168300000,42500
FRA,France,15170,72350000,1600000
PHI,Philippines,15000,138500000,320000
AST,Austria,14260,43000000,215000
CRO,Croatia,14000,71000000,82000
HUN,Hungary,14000,25100000,145000
SYR,Syria,14000,2500000000,260000
YEM,Yemen,12260,3000000000,145000
MYA,Myanmar,12000,139000000,42600
NGR,Niger,11000,150000000,6500
GUA,Guatemala,9666,83070000,85000
MAU,Mauritania,4000,20000000,18500
JPN,Japan,3841,44120000,4000000
BAN,Bangladesh,3666,28000000,112000
CHI,Chile,3244,150000000,325000
GRE,Greece,2753,10000000,350000
SPA,Spain,2252,150000000,1226000
SAF,South Africa,2000,15000000,605000
LIT,Lithuania,2000,12000000,72400
CZC,Czechia,2000,15000000,200000
KYR,Kyrgyzstan,1000,40000000,17200
BUL,Bulgaria,1000,15000000,115000
GEO,Georgia,400,35000000,18500
ISR,Israel,390,12730000,250000
SLK,Slovakia,200,9000000,82000
TAI,Taiwan,196,2380000,1032000
TAJ,Tajikistan,180,12000000,20500
MOR,Morocco,160,684000,206000
JOR,Jordan,22,1000000,110000
SLV,Slovenia,5,0,55000
BUT,Bhutan,0,0,2000
ETH,Ethiopia,0,428000,55000
NAM,Namibia,0,0,25000
ARM,Armenia,0,0,47500
POR,Portugal,0,0,265000
SWI,Switzerland,0,0,260000
NKO,North Korea,0,0,15500
DOM,Dominican Republic,0,0,125000
