short_name,long_name,power
VEN,Venezuela,300900000000
SAR,Saudi Arabia,266500000000
CAN,Canada,169700000000
IRN,Iran,158400000000
IRQ,Iraq,142500000000
KUW,Kuwait,101500000000
UAE,United Arab Emirates,97800000000
RUS,Russia,80000000000
LBY,Libya,48360000000
NGA,Nigeria,37060000000
USA,United States,36520000000
KAZ,Kazakhstan,30000000000
CHN,China,25620000000
QTR,Qatar,25240000000
BRA,Brazil,13000000000
ALG,Algeria,12200000000
ANG,Angola,8273000000
ECU,Ecuador,8273000000
MEX,Mexico,7640000000
AZR,Azerbaijan,7000000000
NOR,Norway,6611000000
OMA,Oman,5373000000
SUD,Sudan,5000000000
IND,India,4621000000
VTN,Vietnam,4400000000
EGY,Egypt,4400000000
SSU,South Sudan,3750000000
MLY,Malaysia,3600000000
INO,Indonesia,3230000000
YEM,Yemen,3000000000
UKD,United Kingdom,2564000000
UGA,Uganda,2500000000
SYR,Syria,2500000000
ARG,Argentina,2185000000
COL,Colombia,2002000000
GAB,Gabon,2000000000
AUS,Australia,1821000000
ROC,Republic of the Congo,1600000000
CHD,Chad,1500000000
GHA,Ghana,660000000
ROM,Romania,600000000
TKM,Turkmenistan,600000000
UZB,Uzbekistan,594000000
ITA,Italy,556700000
DEN,Denmark,490600000
PER,Peru,473000000
TUN,Tunisia,425000000
THA,Thailand,396400000
UKR,Ukraine,395000000
TUR,Turkey,388500000
PAK,Pakistan,350600000
BOL,Bolivia,211500000
CAM,Cameroon,200000000
BLR,Belarus,198000000
DRC,Democratic Republic of the Congo,180000000
ALB,Albania,168300000
NGR,Niger,150000000
SPA,Spain,150000000
CHI,Chile,150000000
GER,Germany,145400000
MYA,Myanmar,139000000
PHI,Philippines,138500000
POL,Poland,137800000
BAH,Bahrain,124600000
CUB,Cuba,124000000
NET,Netherlands,113200000
IVC,Ivory Coast,100000000
SUR,Suriname,83980000
GUA,Guatemala,83070000
SER,Serbia,77500000
FRA,France,72350000
CRO,Croatia,71000000
NWZ,New Zealand,56900000
JPN,Japan,44120000
AST,Austria,43000000
KYR,Kyrgyzstan,40000000
GEO,Georgia,35000000
BAN,Bangladesh,28000000
HUN,Hungary,25100000
MAU,Mauritania,20000000
CZC,Czechia,15000000
SAF,South Africa,15000000
BUL,Bulgaria,15000000
ISR,Israel,12730000
LIT,Lithuania,12000000
TAJ,Tajikistan,12000000
GRE,Greece,10000000
SLK,Slovakia,9000000
TAI,Taiwan,2380000
JOR,Jordan,1000000
MOR,Morocco,684000
ETH,Ethiopia,428000
MAC,North Macedonia,0
POR,Portugal,0
FIN,Finland,0
MAL,Mali,0
ARM,Armenia,0
SWI,Switzerland,0
DOM,Dominican Republic,0
CAR,Central African Republic,0
MON,Mongolia,0
HON,Honduras,0
SOM,Somalia,0
BOT,Botswana,0
SKO,South Korea,0
SIE,Sierra Leone,0
TAN,Tanzania,0
BUT,Bhutan,0
NKO,North Korea,0
NAM,Namibia,0
MOZ,Mozambique,0
ESL,El Salvador,0
MAD,Madagascar,0
EST,Estonia,0
PAR,Paraguay,0
URU,Uruguay,0
SRL,Sri Lanka,0
BEL,Belgium,0
MOL,Moldova,0
BKF,Burkina Faso,0
ZIM,Zimbabwe,0
NEP,Nepal,0
LEB,Lebanon,0
NIC,Nicaragua,0
ZAM,Zambia,0
KEN,Kenya,0
SIN,Singapore,0
LIB,Liberia,0
AFG,Afghanistan,0
MTN,Montenegro,0
PAN,Panama,0
IRE,Ireland,0
SWE,Sweden,0
SLV,Slovenia,0
CMB,Cambodia,0
LAT,Latvia,0
BOS,Bosnia and Herzegovina,0
LAO,Laos,0
