short_name,long_name,power
RUS,Russia,10580000
SAR,Saudi Arabia,10130000
USA,United States,9352000
IRN,Iran,4469000
IRQ,Iraq,4454000
CAN,Canada,3977000
CHN,China,3838000
UAE,United Arab Emirates,3174000
KUW,Kuwait,2753000
BRA,Brazil,2622000
VEN,Venezuela,2007000
MEX,Mexico,1981000
NGA,Nigeria,1946000
KAZ,Kazakhstan,1777000
ANG,Angola,1666000
NOR,Norway,1618000
QTR,Qatar,1500000
ALG,Algeria,1306000
OMA,Oman,970400
UKD,United Kingdom,910500
LBY,Libya,897100
COL,Colombia,853600
INO,Indonesia,801700
AZR,Azerbaijan,789300
IND,India,733900
MLY,Malaysia,647900
EGY,Egypt,589400
ECU,Ecuador,531300
ARG,Argentina,479400
VTN,Vietnam,271400
AUS,Australia,263000
TUR,Turkey,245000
ROC,Republic of the Congo,244200
THA,Thailand,239700
TKM,Turkmenistan,230880
GAB,Gabon,198800
GHA,Ghana,151000
SSU,South Sudan,150200
DEN,Denmark,137100
CHD,Chad,128000
SUD,Sudan,102300
PAK,Pakistan,89720
ITA,Italy,77530
CAM,Cameroon,75720
ROM,Romania,73740
BOL,Bolivia,59330
IVC,Ivory Coast,54000
CUB,Cuba,50000
TUN,Tunisia,49170
UZB,Uzbekistan,46070
BAH,Bahrain,45000
PER,Peru,43520
GER,Germany,43410
BLR,Belarus,32000
NWZ,New Zealand,31480
UKR,Ukraine,29650
POL,Poland,20070
MON,Mongolia,20000
DRC,Democratic Republic of the Congo,19160
SER,Serbia,18740
NET,Netherlands,18170
SUR,Suriname,17000
ALB,Albania,16000
FRA,France,15170
PHI,Philippines,15000
AST,Austria,14260
CRO,Croatia,14000
HUN,Hungary,14000
SYR,Syria,14000
YEM,Yemen,12260
MYA,Myanmar,12000
NGR,Niger,11000
GUA,Guatemala,9666
MAU,Mauritania,4000
JPN,Japan,3841
BAN,Bangladesh,3666
CHI,Chile,3244
GRE,Greece,2753
SPA,Spain,2252
SAF,South Africa,2000
LIT,Lithuania,2000
CZC,Czechia,2000
KYR,Kyrgyzstan,1000
BUL,Bulgaria,1000
GEO,Georgia,400
ISR,Israel,390
SLK,Slovakia,200
TAI,Taiwan,196
TAJ,Tajikistan,180
MOR,Morocco,160
JOR,Jordan,22
SLV,Slovenia,5
BUT,Bhutan,0
ETH,Ethiopia,0
NAM,Namibia,0
ARM,Armenia,0
POR,Portugal,0
SWI,Switzerland,0
NKO,North Korea,0
DOM,Dominican Republic,0
SIE,Sierra Leone,0
LAO,Laos,0
MAL,Mali,0
BOT,Botswana,0
SKO,South Korea,0
HON,Honduras,0
MAC,North Macedonia,0
ESL,El Salvador,0
CAR,Central African Republic,0
FIN,Finland,0
NEP,Nepal,0
SOM,Somalia,0
KEN,Kenya,0
TAN,Tanzania,0
PAN,Panama,0
MOZ,Mozambique,0
MAD,Madagascar,0
SIN,Singapore,0
BKF,Burkina Faso,0
SWE,Sweden,0
PAR,Paraguay,0
URU,Uruguay,0
AFG,Afghanistan,0
MOL,Moldova,0
BOS,Bosnia and Herzegovina,0
LEB,Lebanon,0
EST,Estonia,0
SRL,Sri Lanka,0
ZIM,Zimbabwe,0
ZAM,Zambia,0
UGA,Uganda,0
CMB,Cambodia,0
LIB,Liberia,0
NIC,Nicaragua,0
MTN,Montenegro,0
IRE,Ireland,0
LAT,Latvia,0
BEL,Belgium,0
