short_name,long_name,power
USA,United States,20000000
CHN,China,13500000
IND,India,5000000
JPN,Japan,4000000
SAR,Saudi Arabia,4000000
RUS,Russia,3225000
BRA,Brazil,3020000
SKO,South Korea,2800000
CAN,Canada,2500000
GER,Germany,2500000
MEX,Mexico,2000000
IRN,Iran,2000000
INO,Indonesia,1630000
FRA,France,1600000
UKD,United Kingdom,1600000
THA,Thailand,1345000
SIN,Singapore,1340000
ITA,Italy,1300000
SPA,Spain,1226000
TAI,Taiwan,1032000
AUS,Australia,1005000
TUR,Turkey,845000
NET,Netherlands,840000
MLY,Malaysia,835000
EGY,Egypt,832000
IRQ,Iraq,825000
ARG,Argentina,685000
BEL,Belgium,645000
SAF,South Africa,605000
POL,Poland,585000
PAK,Pakistan,575000
VEN,Venezuela,575000
UAE,United Arab Emirates,575000
VTN,Vietnam,525000
GRE,Greece,350000
KUW,Kuwait,345000
CHI,Chile,325000
UKR,Ukraine,325000
ALG,Algeria,325000
SWE,Sweden,320000
PHI,Philippines,320000
LBY,Libya,315000
COL,Colombia,300000
ECU,Ecuador,282000
NGA,Nigeria,275000
POR,Portugal,265000
SWI,Switzerland,260000
NOR,Norway,260000
SYR,Syria,260000
ISR,Israel,250000
KAZ,Kazakhstan,245000
ROM,Romania,240000
AST,Austria,215000
PER,Peru,210000
MOR,Morocco,206000
FIN,Finland,205000
CZC,Czechia,200000
QTR,Qatar,190000
BLR,Belarus,190000
ROC,Republic of the Congo,185000
AZR,Azerbaijan,180000
DEN,Denmark,162000
CUB,Cuba,152000
TKM,Turkmenistan,150000
NWZ,New Zealand,150000
HUN,Hungary,145000
IRE,Ireland,145000
YEM,Yemen,145000
UZB,Uzbekistan,142000
DOM,Dominican Republic,125000
BUL,Bulgaria,115000
BAN,Bangladesh,112000
LEB,Lebanon,110000
JOR,Jordan,110000
OMA,Oman,100000
PAN,Panama,100000
CHD,Chad,100000
SUD,Sudan,96800
TUN,Tunisia,90500
SRL,Sri Lanka,90000
GUA,Guatemala,85000
ANG,Angola,82300
KEN,Kenya,82000
CRO,Croatia,82000
SLK,Slovakia,82000
SER,Serbia,75000
LIT,Lithuania,72400
GHA,Ghana,65000
SSU,South Sudan,60000
HON,Honduras,60000
BOL,Bolivia,60000
URU,Uruguay,55600
BAH,Bahrain,55000
SLV,Slovenia,55000
ETH,Ethiopia,55000
ARM,Armenia,47500
TAN,Tanzania,46000
ESL,El Salvador,45600
MYA,Myanmar,42600
CMB,Cambodia,42500
ALB,Albania,42500
NIC,Nicaragua,35000
LAT,Latvia,32500
CAM,Cameroon,32500
BOS,Bosnia and Herzegovina,32500
PAR,Paraguay,30000
EST,Estonia,27500
IVC,Ivory Coast,25600
MON,Mongolia,25000
NAM,Namibia,25000
MOZ,Mozambique,22500
ZAM,Zambia,21000
TAJ,Tajikistan,20500
NEP,Nepal,20000
ZIM,Zimbabwe,19500
GEO,Georgia,18500
MAD,Madagascar,18500
MAC,North Macedonia,18500
MAU,Mauritania,18500
UGA,Uganda,17500
KYR,Kyrgyzstan,17200
BOT,Botswana,16500
GAB,Gabon,16500
MOL,Moldova,16320
NKO,North Korea,15500
SUR,Suriname,15100
DRC,Democratic Republic of the Congo,10500
BKF,Burkina Faso,10500
SIE,Sierra Leone,9500
NGR,Niger,6500
SOM,Somalia,6200
MAL,Mali,5500
AFG,Afghanistan,5500
MTN,Montenegro,4860
LIB,Liberia,4500
CAR,Central African Republic,4500
LAO,Laos,4500
BUT,Bhutan,2000
